Movie Title,Release Date,Budget ($),Box Office Revenue ($)
10 Cloverfield Lane,2016-03-08,"$15,000,000.00","$108,300,000.00"
13 Hours: The Secret Soldiers of Benghazi,2016-01-15,"$45,000,000.00","$69,400,000.00"
2 Guns,2013-08-02,"$61,000,000.00","$131,900,000.00"
21 Jump Street,2012-03-16,"$55,000,000.00","$201,500,000.00"
22 Jump Street,2014-06-04,"$84,500,000.00","$331,300,000.00"
300: Rise of an Empire,2014-03-04,"$110,000,000.00","$337,600,000.00"
42,2013-04-12,"$40,000,000.00","$97,500,000.00"
71,2014-02-07,"$8,100,000.00","$2,900,000.00"
90 Minutes in Heaven,2015-09-11,"$5,000,000.00","$4,800,000.00"
A Good Day to Die Hard,2013-02-14,"$92,000,000.00","$304,700,000.00"
A Haunted House,2013-01-11,"$2,500,000.00","$60,100,000.00"
A Haunted House 2,2014-04-18,"$4,000,000.00","$24,000,000.00"
A Long Way Down,2014-02-10,"$22,700,000.00","$7,100,000.00"
A Most Violent Year,2014-11-06,"$20,000,000.00","$12,000,000.00"
A Most Wanted Man,2014-01-19,"$15,000,000.00","$36,200,000.00"
A Thousand Words,2012-03-09,"$40,000,000.00","$22,000,000.00"
A Walk Among the Tombstones,2014-09-19,"$28,000,000.00","$58,800,000.00"
A Walk in the Woods,2015-01-23,"$8,000,000.00","$36,000,000.00"
Abraham Lincoln: Vampire Hunter,2012-06-22,"$99,500,000.00","$116,400,000.00"
After Earth,2013-05-31,"$130,000,000.00","$243,800,000.00"
Ain't Them Bodies Saints,2013-08-16,"$4,000,000.00","$1,000,000.00"
Alex Cross,2012-10-19,"$35,000,000.00","$34,600,000.00"
Aloha,2015-05-27,"$52,000,000.00","$26,300,000.00"
Alvin and the Chipmunks: The Road Chip,2015-12-18,"$90,000,000.00","$234,800,000.00"
American Reunion,2012-04-06,"$50,000,000.00","$235,000,000.00"
American Sniper,2014-11-11,"$58,800,000.00","$547,400,000.00"
American Ultra,2015-08-21,"$28,000,000.00","$27,100,000.00"
Amy,2015-06-16,"$3,400,000.00","$22,000,000.00"
Annabelle,2014-09-26,"$6,500,000.00","$256,900,000.00"
Annie,2014-12-07,"$65,000,000.00","$133,800,000.00"
Ant-Man,2015-06-29,"$130,000,000.00","$519,400,000.00"
Argo,2012-10-12,"$44,500,000.00","$232,300,000.00"
"As Above, So Below",2014-08-29,"$5,000,000.00","$5,000,000.00"
Bad Moms,2016-07-29,"$20,000,000.00","$124,200,000.00"
